f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,y_1,y_2
8.25,25.44,8.27,55.47,34.45,43.28,49.03,16.66,54.11,0,0
5.89,23.11,6.0,10.14,48.78,31.21,46.67,67.96,79.83,0,0
10.68,5.55,10.83,12.49,29.91,5.61,43.56,42.14,50.6,0,0
9.82,14.27,3.78,37.07,87.89,98.21,42.56,40.7,30.1,1,0
24.53,1.95,3.94,68.12,39.6,16.58,43.68,36.73,46.71,1,0
1.7,12.23,3.4,54.8,7.65,21.5,41.46,22.44,48.43,0,0
9.56,5.47,2.19,84.23,8.94,27.99,45.35,35.59,44.33,0,0
36.0,13.94,12.65,19.7,68.91,24.92,34.52,59.55,51.37,0,0
2.38,36.14,7.72,5.5,50.07,2.63,54.7,24.29,37.13,0,0
13.83,2.53,2.47,18.44,18.27,62.53,48.56,54.56,39.98,0,0
15.8,10.13,9.11,47.86,22.38,41.24,43.6,42.03,51.24,0,0
9.87,30.89,6.28,48.91,66.02,80.75,47.5,33.24,35.06,1,0
4.97,19.31,4.02,12.75,49.66,70.71,43.15,31.61,57.85,0,0
3.66,14.59,7.06,5.53,70.99,31.99,30.58,25.29,68.47,0,0
10.48,1.59,16.87,65.28,84.13,93.7,40.52,62.77,24.74,1,0
13.39,4.91,22.23,2.55,96.03,93.05,60.81,43.1,34.86,1,0
15.42,5.71,14.36,28.43,82.9,19.54,36.35,27.54,49.5,1,0
15.09,23.64,7.33,3.15,36.75,94.41,51.93,22.79,54.67,0,0
16.29,15.46,4.26,64.54,10.05,21.79,46.11,46.8,36.0,0,0
1.08,2.76,20.27,50.99,61.95,47.36,67.04,51.77,47.01,0,0
3.33,36.59,30.19,28.71,33.43,42.93,39.19,53.92,60.91,0,0
2.5,3.37,22.64,33.98,63.36,59.19,57.59,47.32,54.17,1,0
21.89,17.93,27.54,44.44,31.37,53.51,13.94,44.37,55.07,1,0
2.17,6.74,7.03,14.1,26.56,59.21,41.06,25.71,45.54,0,0
2.35,10.12,3.47,41.47,16.11,92.51,34.82,54.52,69.0,0,0
11.48,2.15,17.79,59.67,55.61,59.1,33.0,36.26,62.54,1,0
8.77,10.06,15.65,16.87,18.57,42.65,67.22,32.76,35.91,0,0
26.01,10.37,1.69,79.5,38.21,94.88,48.35,54.47,66.73,0,0
8.0,30.67,5.13,12.16,58.37,26.52,61.69,41.32,43.83,0,0
13.23,9.77,9.98,98.08,24.74,91.97,47.48,42.92,39.78,0,0
7.28,4.48,2.53,56.46,94.33,58.14,52.15,54.34,37.47,1,1
9.27,4.57,7.43,99.43,48.21,48.33,43.42,21.61,51.64,1,0
18.65,6.08,8.37,45.36,19.46,42.79,39.23,47.81,33.81,0,0
4.4,9.58,14.78,14.91,67.13,38.68,65.33,41.7,44.78,0,0
7.14,9.52,5.45,81.86,10.28,23.02,64.41,44.28,57.4,0,0
7.23,4.39,1.89,2.73,94.74,78.08,72.22,26.66,50.63,1,1
2.83,2.53,2.97,72.65,4.27,76.84,74.41,43.33,66.98,1,0
23.6,3.38,1.88,59.51,63.68,86.6,45.89,47.16,57.95,1,0
13.66,3.07,3.14,20.38,90.66,91.15,45.85,42.96,78.64,1,0
5.54,1.93,6.21,1.72,62.59,50.82,50.5,34.46,43.58,1,0
3.2,4.23,1.13,65.46,59.73,18.89,40.65,52.8,47.77,0,1
2.94,30.02,11.73,34.94,81.24,24.34,40.16,49.0,69.92,0,0
6.65,24.22,7.6,62.04,5.56,79.67,55.35,61.38,60.94,0,0
3.46,7.62,3.24,24.26,14.76,84.85,59.55,51.98,58.31,0,0
2.19,6.67,10.19,16.39,83.34,94.22,74.99,51.93,55.82,1,0
5.56,1.93,1.91,81.65,67.09,67.67,39.32,45.46,52.79,1,1
1.04,19.53,1.84,88.06,87.11,47.37,49.36,37.52,50.81,0,1
12.69,21.52,7.95,37.13,82.98,64.3,77.1,35.77,47.67,0,1
12.16,1.19,17.26,21.31,72.74,55.38,68.49,36.26,58.78,1,0
3.43,6.78,5.74,16.83,55.23,94.46,38.51,39.91,33.93,1,0
13.57,11.82,1.37,7.04,80.76,60.43,70.31,58.67,47.18,0,1
12.11,3.44,18.46,36.56,3.71,31.94,54.72,44.89,44.43,1,0
1.14,16.17,2.58,9.32,59.81,71.94,35.52,41.6,69.07,0,1
3.78,19.44,3.55,3.32,86.64,4.68,46.04,38.51,54.08,0,1
6.29,8.42,4.3,71.64,81.46,74.56,40.21,49.57,31.07,1,1
3.33,16.27,30.34,61.7,12.43,52.78,65.25,65.24,61.12,0,0
13.19,5.6,13.72,34.7,14.5,46.27,51.22,38.25,33.98,0,0
9.53,42.89,13.31,23.09,69.11,47.83,43.58,54.48,55.71,0,0
3.93,6.06,17.46,4.44,22.42,26.48,70.29,39.0,35.19,1,0
7.07,14.61,13.06,45.29,46.12,7.09,29.17,55.46,59.91,0,0
3.07,8.29,8.75,76.49,93.58,65.21,42.03,47.78,43.86,0,0
1.68,8.78,7.99,24.39,67.36,52.86,25.3,34.77,45.79,0,0
9.7,2.38,8.71,23.36,91.73,87.42,29.79,30.53,50.76,1,1
2.23,1.32,13.04,69.52,93.22,89.5,50.09,40.94,65.44,1,0
1.92,6.93,10.39,77.3,86.59,43.79,35.38,70.06,60.15,0,1
5.52,2.38,2.8,15.91,53.89,10.05,63.33,50.74,52.18,1,0
13.24,5.46,2.61,68.82,7.2,84.89,48.23,44.15,61.99,0,0
6.2,1.36,1.52,60.0,64.62,24.95,58.08,33.2,52.12,1,0
6.3,5.91,1.24,99.78,80.86,56.95,48.36,41.6,52.49,1,1
16.36,9.92,27.12,37.77,34.42,37.61,61.88,43.07,68.15,1,0
11.46,2.85,9.11,40.31,4.37,2.83,49.36,46.66,44.18,1,0
7.0,34.56,7.0,87.35,10.94,76.83,44.01,38.65,76.06,0,1
40.32,16.43,1.25,42.76,52.64,78.78,52.71,53.52,49.57,0,1
19.38,7.4,5.77,96.93,61.57,45.36,41.5,63.35,42.46,0,0
21.66,28.97,4.52,76.58,71.75,85.66,57.35,40.38,66.84,0,0
29.02,6.41,5.9,37.44,62.36,83.8,41.16,45.2,50.05,1,1
6.47,3.23,3.69,70.69,48.08,67.75,47.11,55.0,40.26,1,0
14.62,13.89,2.83,6.11,90.88,22.55,37.63,35.07,52.04,0,1
28.24,2.89,20.27,23.87,78.26,59.25,56.14,18.08,51.96,1,0
14.65,26.12,13.03,41.4,40.29,92.87,33.69,52.51,47.88,0,0
27.0,1.76,6.57,7.19,14.24,88.44,49.02,38.94,53.05,1,0
5.02,2.18,14.96,52.85,23.77,28.45,37.56,33.5,27.16,1,0
4.71,8.43,7.12,49.94,42.48,89.7,45.7,61.4,59.28,1,0
13.55,16.67,28.22,3.13,83.43,62.85,61.68,46.84,56.4,0,1
10.73,4.39,5.21,96.68,31.64,76.11,32.33,32.8,48.14,0,0
26.57,3.56,19.93,53.77,88.32,42.5,27.26,49.56,55.65,1,1
1.97,5.77,5.77,31.69,73.41,84.49,64.54,30.23,42.59,0,0
2.47,33.31,28.91,70.52,73.09,67.58,58.07,44.52,46.44,0,0
1.67,8.38,11.94,29.43,43.42,15.71,50.7,56.45,70.89,0,0
6.77,15.81,5.3,98.28,68.24,76.8,54.59,65.82,36.65,0,0
8.7,6.2,10.56,36.44,64.33,36.12,39.15,39.88,64.32,0,0
2.82,7.65,3.99,25.11,67.58,95.19,48.88,40.06,33.91,1,1
4.15,1.39,6.66,72.01,96.13,46.3,43.45,59.85,59.35,1,0
7.65,7.76,1.17,94.22,4.99,17.78,55.63,38.27,51.36,0,1
1.87,13.97,2.82,84.84,94.58,73.98,54.95,43.16,49.97,0,1
4.79,7.68,3.86,86.43,16.15,17.83,47.24,50.63,40.75,0,0
1.48,20.39,1.46,45.42,53.76,53.79,49.37,56.03,33.59,0,1
7.16,8.22,38.91,21.98,54.25,49.27,32.64,35.85,38.41,1,0
12.86,4.01,11.34,55.7,88.91,47.73,45.1,54.65,50.77,1,0
12.06,12.37,11.65,21.11,6.74,86.28,46.15,40.02,73.07,1,0
9.92,9.95,3.99,59.54,72.27,89.97,36.39,46.12,59.82,1,0
29.14,8.13,3.78,36.83,83.05,44.2,59.67,48.63,38.46,1,0
7.23,54.14,3.92,29.31,63.04,29.47,61.77,58.04,48.03,0,1
2.82,3.43,5.39,23.87,16.16,50.68,35.74,45.87,50.66,0,0
1.68,5.25,5.89,95.32,83.09,36.82,42.63,45.79,53.98,1,0
12.7,6.36,6.49,70.67,61.34,5.67,60.22,56.91,74.72,1,0
5.07,14.46,3.23,36.9,25.2,81.11,39.42,39.58,53.89,1,0
5.12,3.26,2.03,70.6,59.89,58.52,44.67,50.12,50.42,1,0
4.84,13.64,10.06,54.46,40.96,27.45,34.43,56.83,42.26,0,0
6.45,7.52,6.06,45.23,5.42,43.69,33.66,54.1,62.44,0,0
8.22,2.7,20.67,38.57,95.68,16.59,57.85,47.91,51.42,1,0
6.38,9.07,5.84,43.32,8.53,29.44,52.66,51.88,46.74,0,0
2.04,4.23,1.18,41.63,69.3,51.57,45.51,39.75,69.59,0,1
23.35,1.79,8.0,73.27,10.83,81.25,53.9,51.53,38.6,0,0
30.09,18.45,5.31,30.05,19.7,39.78,41.56,45.74,53.2,0,1
2.04,3.21,6.08,61.8,62.43,71.04,40.21,54.88,59.73,1,0
10.49,7.88,3.41,65.71,67.93,31.44,34.68,45.32,44.15,1,1
5.2,5.5,1.68,23.47,33.48,1.1,38.9,41.41,62.17,1,0
5.26,16.54,17.39,96.29,96.52,26.39,52.11,57.89,59.22,0,0
21.79,1.87,5.23,93.39,45.72,74.66,57.84,33.62,68.19,1,0
31.05,17.55,1.86,82.08,10.43,9.34,59.58,26.91,50.79,0,1
4.28,16.44,5.32,5.62,77.49,85.59,61.4,75.97,60.9,0,1
17.27,2.96,2.84,9.74,83.76,25.59,42.0,51.97,44.52,1,0
5.14,26.45,4.83,19.2,9.02,45.38,62.63,49.9,38.48,0,0
2.1,10.94,2.52,96.96,56.7,30.23,53.25,34.2,59.74,0,1
1.6,31.66,6.4,43.77,58.47,90.94,57.26,57.21,55.15,0,0
1.29,27.52,8.24,22.03,58.69,32.29,52.25,47.54,49.27,0,0
6.73,2.09,10.6,17.67,1.48,47.87,59.83,46.48,52.0,0,0
12.24,3.73,23.5,74.78,50.5,3.46,63.83,47.54,16.98,1,0
5.32,6.33,4.49,85.55,21.12,65.6,52.17,60.19,40.14,1,0
3.63,1.61,3.54,76.79,42.47,88.89,77.38,42.15,49.34,1,0
2.2,18.99,6.63,55.44,47.57,52.87,48.14,57.46,79.43,0,0
18.37,12.85,6.96,63.56,81.61,45.04,57.39,18.34,60.98,0,1
9.69,22.05,2.87,73.35,62.69,50.99,67.42,17.95,67.84,0,1
6.38,11.1,17.05,16.02,14.55,16.92,29.13,50.47,45.72,0,0
8.25,5.76,10.71,22.38,92.66,4.71,44.35,38.65,31.91,1,1
6.08,4.28,43.7,23.68,77.11,61.39,54.85,37.16,53.59,1,0
5.2,1.75,9.1,28.9,26.06,74.74,35.74,56.62,21.32,1,0
5.34,1.36,5.67,17.22,79.77,43.67,35.37,30.14,68.93,1,1
18.86,32.25,1.16,57.46,42.68,81.88,33.11,51.59,43.4,0,1
19.97,3.47,11.73,36.94,33.56,50.73,61.76,54.72,62.82,1,0
3.95,16.9,1.34,60.35,62.79,23.07,51.26,53.6,54.15,0,1
8.67,15.34,1.56,54.6,88.86,51.21,51.97,40.74,71.08,0,1
4.27,14.36,6.53,58.78,74.39,61.32,44.0,30.05,36.57,1,0
3.55,6.27,20.58,40.37,64.48,69.67,58.72,31.87,66.32,0,0
4.9,1.2,3.11,15.19,22.17,54.0,40.97,38.88,64.33,1,0
1.18,24.63,5.88,53.72,27.65,25.66,54.23,32.03,36.02,0,0
15.92,26.14,3.36,32.76,52.16,71.13,50.69,55.23,72.93,0,1
5.34,15.89,16.39,12.43,17.36,97.67,57.69,45.92,37.13,0,0
10.48,6.43,2.58,8.56,63.21,11.28,55.07,49.2,47.7,1,0
3.48,6.65,1.36,66.54,72.49,85.88,24.53,65.95,53.02,0,1
10.38,3.54,15.69,56.41,19.82,85.09,39.0,67.64,62.03,0,0
9.85,1.66,4.24,98.54,69.35,5.35,68.85,61.01,26.17,1,1
2.24,3.99,9.83,41.66,69.5,34.18,87.95,48.64,49.0,1,0
2.22,1.82,12.3,13.84,16.47,91.25,51.01,54.1,69.2,1,0
6.41,13.74,12.88,40.62,16.07,55.96,82.86,49.56,44.84,0,0
4.73,8.47,14.11,89.85,58.01,53.32,51.16,41.8,64.81,0,0
4.51,2.14,1.64,72.01,80.11,79.85,33.96,67.74,65.96,1,1
12.89,11.45,16.78,49.11,36.02,16.04,65.21,64.12,79.13,0,0
15.85,8.94,2.28,98.85,41.22,56.21,50.12,41.75,33.44,0,0
4.44,1.46,2.28,86.48,18.39,37.31,57.1,53.47,69.78,1,0
24.39,18.21,3.84,81.31,4.1,15.6,38.43,44.92,38.84,0,0
32.98,10.64,2.92,76.8,51.6,11.7,65.19,61.77,62.14,0,0
3.96,7.82,13.69,47.53,91.37,59.29,59.99,48.84,54.59,0,0
8.07,10.61,19.15,44.87,61.59,90.49,48.5,44.35,53.03,0,0
8.1,7.04,5.43,30.34,54.38,57.28,34.58,59.5,23.71,1,1
10.99,4.64,11.96,32.22,15.19,69.3,60.51,50.96,68.56,0,0
31.67,1.58,16.74,86.41,41.2,61.14,19.01,43.44,43.89,1,0
26.15,6.13,18.21,63.19,20.01,69.42,43.77,54.44,64.7,0,0
31.71,11.49,2.44,69.24,16.37,63.75,23.74,64.44,71.82,0,0
4.31,12.81,25.11,30.52,43.82,44.47,38.25,48.66,53.04,1,0
2.45,10.88,5.05,51.09,69.6,60.44,51.59,40.67,53.71,0,1
14.85,12.48,2.85,10.57,61.84,8.99,51.83,49.92,42.57,1,0
12.09,3.32,15.3,43.57,38.02,23.95,37.06,45.34,52.19,0,0
9.22,6.33,1.84,18.81,97.65,52.01,57.51,37.25,68.45,1,1
3.25,19.33,4.75,92.16,27.87,6.26,73.51,28.5,25.58,1,0
6.01,22.22,13.55,4.58,37.7,13.26,54.23,35.53,51.8,0,0
20.82,4.39,1.45,41.66,17.05,2.1,46.55,41.17,43.62,1,0
3.53,18.19,2.85,1.33,79.95,69.01,45.19,32.6,62.99,0,0
1.62,1.55,1.83,35.56,98.65,57.45,29.98,60.99,50.67,1,1
4.58,4.79,3.17,35.6,65.98,3.82,56.52,27.44,40.93,1,0
10.01,5.95,14.31,72.91,36.04,96.71,48.57,49.89,60.92,1,0
3.19,17.15,36.3,44.52,92.92,85.77,44.64,27.47,69.42,1,0
1.77,16.1,3.83,26.17,1.36,39.34,17.13,47.49,68.65,0,0
8.19,2.3,3.98,72.86,9.32,36.13,21.42,21.48,41.84,0,0
32.21,11.21,6.04,92.96,22.8,18.32,43.69,55.72,45.45,0,0
3.78,6.7,20.58,79.71,82.94,10.35,37.8,46.51,49.49,1,1
23.97,3.55,4.47,71.82,45.43,14.93,41.51,48.32,44.3,1,0
4.32,2.25,6.96,42.69,82.86,21.62,61.1,44.48,79.24,1,1
6.33,8.82,33.76,1.7,44.34,30.14,46.74,32.57,48.56,0,0
3.51,4.23,1.66,71.72,91.93,13.16,56.23,33.16,45.75,1,1
3.06,21.02,12.8,31.84,80.08,66.18,45.22,41.49,37.87,0,0
5.94,5.36,2.51,53.26,78.89,41.56,38.79,53.02,62.87,1,0
19.96,7.59,23.29,48.26,80.95,34.43,45.17,36.32,26.1,1,0
5.04,43.76,1.28,8.41,42.72,60.15,58.86,45.36,59.66,0,1
1.84,8.36,5.45,91.96,55.36,18.77,52.54,66.87,66.41,0,1
4.98,18.69,17.79,48.22,21.44,10.82,53.12,41.32,48.48,0,0
1.74,28.86,5.83,62.51,4.89,54.45,35.04,66.06,75.43,0,0
18.71,3.16,13.18,17.15,79.12,57.36,37.01,33.81,71.3,1,0
3.78,8.81,12.02,20.68,79.85,71.6,42.09,34.43,74.78,0,0
12.0,7.2,5.33,81.27,10.62,30.08,58.69,55.98,42.44,0,0
1.26,14.68,10.4,94.02,33.27,29.16,37.81,49.6,49.2,0,0
6.02,4.98,8.99,42.02,78.5,72.31,41.08,62.44,55.23,1,1
28.1,8.45,5.39,7.98,53.0,64.92,60.66,30.55,43.39,0,0
3.2,11.83,11.82,34.63,12.54,97.1,35.54,30.0,79.22,0,0
2.36,9.87,28.11,10.06,7.81,54.15,53.8,55.25,63.61,0,0
2.65,1.18,3.3,22.21,46.14,56.33,52.67,39.75,60.36,1,0
1.03,3.12,11.49,17.66,79.01,58.4,61.46,56.9,67.96,0,1
2.43,1.95,11.25,84.45,59.78,13.57,62.86,26.02,56.24,1,0
7.11,1.43,10.76,44.62,52.93,61.53,42.38,46.18,33.1,1,0
1.19,6.27,9.26,61.02,34.43,54.07,33.14,56.93,28.36,0,0
2.59,1.43,2.68,95.51,7.32,43.72,37.5,33.85,52.74,1,0
2.09,1.07,2.32,85.52,18.11,53.2,41.34,44.55,62.19,1,0
26.3,43.41,15.12,89.52,11.87,84.51,47.94,42.83,48.81,0,0
12.99,15.43,7.13,39.41,78.83,72.24,44.95,52.91,45.55,1,0
9.87,3.94,12.62,94.12,85.82,14.3,46.13,35.64,54.32,1,0
1.04,2.15,4.95,51.5,47.71,14.52,55.79,39.88,67.73,0,1
19.05,2.01,18.88,83.19,87.56,49.2,44.25,26.55,44.72,1,0
4.84,16.27,1.75,73.71,57.76,24.61,35.85,45.36,63.73,0,1
6.13,27.13,25.0,84.95,10.66,36.38,45.05,46.49,68.86,0,0
9.22,4.29,16.73,94.91,13.43,97.45,31.53,21.06,44.87,1,0
1.06,2.79,6.94,98.34,30.05,90.97,50.82,37.67,27.0,0,0
4.86,8.37,6.03,7.96,70.14,8.68,41.41,42.82,30.25,1,0
1.53,10.47,5.6,60.18,4.71,2.09,39.79,38.15,52.45,0,1
10.64,20.7,1.0,34.0,79.76,94.46,44.82,45.57,61.84,1,1
1.28,1.31,20.49,73.32,68.0,6.28,54.24,42.25,58.5,1,1
3.82,5.95,6.46,91.15,97.12,31.51,48.87,46.14,40.64,1,0
1.19,4.17,2.69,46.01,89.5,57.47,58.89,35.66,61.98,0,1
6.87,2.03,4.64,91.71,62.47,74.82,43.39,62.83,61.34,1,1
9.49,1.52,3.48,68.72,9.75,30.51,75.94,48.28,35.51,1,0
8.42,10.14,1.31,89.69,93.32,73.65,22.87,31.25,49.39,1,1
12.68,16.39,40.19,47.2,29.15,5.77,45.89,56.93,42.04,0,0
7.67,10.04,13.01,32.1,46.48,86.28,53.09,42.63,22.31,0,0
1.6,14.92,1.07,57.78,38.74,23.8,49.88,31.17,19.72,0,1
1.41,6.22,4.16,20.73,83.18,38.92,55.97,35.46,63.16,0,1
8.99,2.77,2.78,38.33,73.22,23.2,27.78,74.71,56.08,1,1
10.48,4.06,17.16,75.26,59.19,74.5,17.02,47.33,46.34,1,0
15.69,1.2,3.07,92.83,31.67,10.1,41.99,27.23,45.71,1,0
17.57,19.25,3.66,40.4,54.37,85.57,38.83,63.25,47.89,0,0
31.3,8.51,10.09,21.27,36.14,31.23,64.94,50.89,59.37,0,0
7.43,3.74,12.46,16.56,24.6,92.59,72.57,23.32,37.96,0,0
3.85,2.72,30.75,19.26,83.07,2.24,39.32,44.88,51.76,1,0
16.44,12.71,12.35,66.56,7.69,80.5,56.11,52.38,44.57,0,0
9.27,3.31,13.42,55.4,61.04,35.25,73.33,33.47,57.88,1,0
31.86,1.82,1.4,51.05,49.33,92.68,71.77,35.19,52.38,1,0
16.16,5.88,16.85,72.5,43.63,11.35,39.42,34.32,61.05,0,0
54.99,5.66,12.58,25.82,55.88,66.1,47.35,58.94,41.29,0,0
4.71,4.14,1.28,94.12,88.85,83.63,69.12,65.93,56.81,1,1
4.95,22.79,1.69,1.53,6.28,28.32,76.57,52.64,62.64,0,1
7.68,3.02,10.5,79.4,11.84,4.6,51.67,34.45,40.78,0,0
23.24,13.48,5.43,61.96,38.01,72.04,30.82,55.05,43.55,0,0
2.26,13.09,3.82,23.28,15.06,79.49,49.46,42.15,51.2,0,0
24.12,1.92,6.34,35.37,94.59,78.56,50.76,42.71,58.23,1,0
2.13,24.47,18.07,41.65,58.38,28.5,60.58,40.02,60.66,0,0
11.07,6.93,1.39,51.65,9.58,94.2,54.02,45.35,57.41,0,0
15.9,3.4,10.72,11.4,99.13,33.42,37.77,58.89,49.46,1,0
10.66,20.81,7.34,33.54,27.93,15.37,71.49,45.89,47.25,0,0
21.41,12.3,17.6,18.2,84.96,88.47,52.51,53.92,78.12,0,0
7.27,3.69,3.86,45.26,84.11,42.15,39.0,56.34,76.15,1,1
4.83,1.02,10.45,36.91,21.61,81.7,70.61,48.63,48.56,1,0
1.05,1.4,5.89,46.5,44.5,85.27,59.3,64.37,48.23,1,1
11.97,2.44,14.36,35.27,41.83,32.78,61.71,58.5,36.25,1,0
11.26,18.61,19.79,95.48,58.86,2.02,63.61,39.53,41.25,0,0
5.04,8.02,12.34,20.21,87.8,66.97,54.53,39.42,44.66,1,0
1.12,5.6,3.35,23.83,78.63,89.91,64.07,52.23,51.23,0,1
9.45,15.35,8.45,72.73,76.34,76.65,35.45,63.29,47.65,0,0
7.22,3.29,4.75,32.34,48.27,62.87,40.83,44.24,67.5,1,0
40.47,12.62,4.88,63.73,62.35,37.24,53.33,55.33,50.44,1,0
5.35,4.84,10.23,79.45,80.61,76.11,41.07,54.86,68.86,0,0
6.88,1.44,1.55,14.13,8.62,94.53,54.15,52.64,50.0,1,0
19.46,22.66,3.97,33.28,44.57,70.65,39.2,32.62,34.54,0,0
2.13,1.86,4.87,72.82,41.85,8.02,48.8,29.07,56.74,1,0
4.37,1.67,11.95,72.79,32.62,60.87,49.38,40.65,37.61,1,0
2.72,23.36,10.59,38.33,8.7,10.4,51.08,52.93,76.36,0,0
10.37,37.25,4.43,25.27,81.52,73.93,34.92,37.59,53.76,1,0
3.94,3.76,7.49,41.49,56.59,37.66,56.76,39.86,70.34,1,1
6.29,7.21,3.57,1.59,16.6,20.97,66.16,47.78,42.06,0,0
3.94,31.7,10.73,36.64,89.2,99.44,56.49,49.46,65.79,0,1
2.55,3.27,4.29,24.55,65.81,80.93,55.94,47.21,44.49,1,0
6.69,8.74,24.69,63.64,34.99,32.53,45.98,42.24,51.6,0,1
3.21,1.12,12.1,52.21,52.49,34.74,28.95,21.18,49.6,1,1
4.28,6.3,1.04,42.63,20.04,80.19,50.33,27.4,45.55,0,1
7.64,12.2,4.4,39.69,23.82,42.21,37.65,38.27,43.16,0,1
7.3,5.82,17.15,39.83,26.59,43.63,34.72,43.96,56.87,0,0
2.91,12.06,3.06,31.04,74.45,44.47,62.31,46.87,51.28,0,1
6.36,5.41,3.71,13.0,48.03,22.3,39.47,48.72,54.57,0,0
1.34,4.05,1.81,55.58,79.39,75.28,73.22,42.81,58.23,0,1
2.08,8.8,6.82,47.69,55.58,1.9,28.09,50.03,62.46,0,1
9.14,25.49,6.71,69.42,79.89,40.93,35.21,30.82,68.85,0,0
4.28,7.99,9.81,37.65,46.98,57.97,60.78,49.82,61.28,0,0
32.87,7.5,10.1,64.12,79.8,93.57,60.46,36.27,70.2,1,0
12.48,1.64,1.57,3.83,82.18,70.18,53.75,49.47,48.26,1,1
22.89,3.55,24.98,63.5,8.78,31.25,42.44,48.24,18.44,0,0
1.72,4.14,4.42,57.54,25.68,34.73,23.41,43.56,44.77,0,0
2.41,5.1,2.69,28.21,16.81,24.21,26.95,46.65,52.14,1,0
12.3,24.31,9.37,11.39,90.45,97.75,35.65,21.19,56.46,0,0
2.51,2.4,5.67,39.22,49.04,53.24,71.94,51.82,55.57,1,0
1.67,2.61,25.95,66.58,90.03,48.64,29.85,43.82,53.13,1,1
7.1,23.93,5.98,2.49,19.67,19.5,72.45,57.71,64.69,0,0
3.7,15.77,2.62,56.42,70.33,95.33,34.91,33.08,59.9,0,1
15.0,13.71,7.85,96.62,23.1,59.46,41.19,35.65,59.87,0,0
5.53,8.08,2.74,8.85,55.17,84.35,31.41,46.57,39.51,0,0
39.31,4.61,8.01,29.83,21.94,84.07,48.9,29.94,38.02,1,0
4.4,13.42,9.71,40.41,42.24,91.09,36.02,26.15,61.08,0,0
4.79,9.38,29.61,38.77,47.52,29.85,43.71,37.79,39.31,0,0
5.28,11.68,8.84,49.09,72.66,7.85,50.0,42.25,39.79,1,0
1.63,6.49,1.07,62.65,94.15,67.41,49.31,40.71,32.23,1,1
1.89,16.04,8.13,79.27,53.52,70.31,53.45,41.61,56.08,0,1
6.41,4.9,11.4,72.92,60.34,42.69,42.52,29.16,44.28,1,0
6.51,2.21,3.88,8.32,33.42,97.28,78.13,48.96,58.57,1,0
2.07,11.28,3.97,22.17,23.98,69.5,58.55,50.87,57.46,0,0
9.01,3.82,20.92,72.84,29.1,50.63,51.54,50.7,51.52,1,0
7.71,4.89,2.87,15.24,2.65,27.6,63.74,56.53,35.15,0,0
9.98,7.66,5.94,16.26,92.4,67.66,23.95,38.56,52.48,1,0
14.4,2.09,1.05,48.57,59.84,21.72,15.32,39.67,44.26,1,1
6.44,15.61,3.07,83.23,98.01,15.94,56.92,33.66,72.24,0,1
2.17,3.29,5.02,83.29,54.07,4.68,82.0,52.91,55.37,1,0
1.93,9.37,16.94,24.07,50.06,83.82,38.61,42.91,46.45,0,1
15.88,7.99,1.97,63.84,57.31,32.02,36.13,51.92,49.45,1,0
1.8,4.81,2.35,11.89,10.05,44.21,65.92,52.82,81.83,0,0
3.95,25.49,13.23,4.07,67.63,50.51,30.32,45.02,32.02,0,0
29.95,3.62,9.71,16.5,22.81,53.3,55.46,34.65,76.01,0,0
2.03,29.52,7.69,36.71,94.62,15.88,37.87,53.35,43.81,0,0
2.46,3.09,8.44,15.69,57.63,9.34,74.3,51.15,59.7,0,1
2.75,11.52,1.24,92.64,87.32,37.01,33.06,47.78,48.12,0,1
15.16,5.82,9.38,61.49,89.82,46.73,40.49,30.29,58.21,0,1
8.13,7.95,18.7,29.97,37.56,5.49,60.25,54.28,37.79,1,0
6.92,1.21,27.11,95.47,51.9,59.94,53.14,43.18,59.55,1,0
24.21,3.49,2.99,20.72,61.39,64.92,36.63,52.47,51.78,1,0
1.61,6.31,8.32,68.11,18.1,57.78,51.45,42.17,68.67,0,1
13.55,9.77,1.8,20.13,77.97,38.91,53.82,32.05,54.42,0,1
10.44,1.66,29.79,35.31,46.6,75.57,51.79,40.33,54.49,1,0
8.78,5.23,2.02,44.05,61.35,63.15,25.38,42.49,54.86,0,0
3.7,1.16,5.51,76.18,87.77,7.18,52.92,46.82,61.53,1,0
13.62,5.87,5.68,41.18,45.85,61.68,57.27,33.1,50.67,0,0
2.05,7.05,15.19,78.06,84.61,16.21,42.69,59.57,48.27,1,0
2.69,22.27,12.12,89.8,29.14,26.0,62.26,27.85,51.33,0,0
6.87,2.03,3.93,5.7,9.98,78.47,39.67,67.75,44.61,1,0
8.93,3.18,11.64,45.91,30.74,27.69,38.25,34.04,48.99,0,0
5.43,6.34,14.93,74.19,67.31,97.81,72.55,38.89,39.06,0,1
5.8,1.64,16.61,67.84,80.23,36.29,49.88,65.3,47.63,1,0
1.1,8.36,1.49,92.7,91.86,10.54,56.53,23.29,57.23,0,1
7.93,1.07,2.39,63.64,57.26,1.43,72.71,30.63,63.1,1,0
6.86,1.79,24.12,85.25,89.04,3.26,38.29,39.23,28.72,1,1
8.97,4.39,1.41,97.67,84.83,83.22,41.12,45.64,77.67,1,1
15.24,2.66,9.93,44.09,99.32,6.96,42.98,52.23,46.14,1,0
15.3,3.45,10.93,96.18,45.91,53.72,52.21,54.31,35.19,1,0
26.11,6.19,17.76,14.1,31.78,25.08,46.52,28.23,50.81,1,0
